11110,서울특별시 종로구
11140,서울특별시 중구
11170,서울특별시 용산구
11200,서울특별시 성동구
11215,서울특별시 광진구
11230,서울특별시 동대문구
11260,서울특별시 중랑구
11290,서울특별시 성북구
11305,서울특별시 강북구
11320,서울특별시 도봉구
11350,서울특별시 노원구
11380,서울특별시 은평구
11410,서울특별시 서대문구
11440,서울특별시 마포구
11470,서울특별시 양천구
11500,서울특별시 강서구
11530,서울특별시 구로구
11545,서울특별시 금천구
11560,서울특별시 영등포구
11590,서울특별시 동작구
11620,서울특별시 관악구
11650,서울특별시 서초구
11680,서울특별시 강남구
11710,서울특별시 송파구
11740,서울특별시 강동구
21110,부산직할시 중구
21140,부산직할시 서구
21170,부산직할시 동구
21200,부산직할시 영도구
21230,부산직할시 부산진구
21260,부산직할시 동래구
21290,부산직할시 남구
21320,부산직할시 북구
21350,부산직할시 해운대구
21380,부산직할시 사하구
21410,부산직할시 금정구
21440,부산직할시 강서구
22110,대구직할시 중구
22140,대구직할시 동구
22170,대구직할시 서구
22200,대구직할시 남구
22230,대구직할시 북구
22260,대구직할시 수성구
22290,대구직할시 달서구
23110,인천직할시 중구
23140,인천직할시 동구
23170,인천직할시 남구
23200,인천직할시 남동구
23230,인천직할시 북구
23260,인천직할시 서구
24110,광주직할시 동구
24140,광주직할시 서구
24170,광주직할시 북구
24200,광주직할시 광산구
25110,대전직할시 동구
25140,대전직할시 중구
25170,대전직할시 서구
25200,대전직할시 유성구
25230,대전직할시 대덕구
26110,부산광역시 중구
26140,부산광역시 서구
26170,부산광역시 동구
26200,부산광역시 영도구
26230,부산광역시 부산진구
26260,부산광역시 동래구
26290,부산광역시 남구
26320,부산광역시 북구
26350,부산광역시 해운대구
26380,부산광역시 사하구
26410,부산광역시 금정구
26440,부산광역시 강서구
26470,부산광역시 연제구
26500,부산광역시 수영구
26530,부산광역시 사상구
26710,부산광역시 기장군
27110,대구광역시 중구
27140,대구광역시 동구
27170,대구광역시 서구
27200,대구광역시 남구
27230,대구광역시 북구
27260,대구광역시 수성구
27290,대구광역시 달서구
27710,대구광역시 달성군
28110,인천광역시 중구
28140,인천광역시 동구
28170,인천광역시 남구
28177,인천광역시 미추홀구
28185,인천광역시 연수구
28200,인천광역시 남동구
28230,인천광역시 북구
28237,인천광역시 부평구
28245,인천광역시 계양구
28260,인천광역시 서구
28710,인천광역시 강화군
28720,인천광역시 옹진군
29110,광주광역시 동구
29140,광주광역시 서구
29155,광주광역시 남구
29170,광주광역시 북구
29200,광주광역시 광산구
30110,대전광역시 동구
30140,대전광역시 중구
30170,대전광역시 서구
30200,대전광역시 유성구
30230,대전광역시 대덕구
31110,울산광역시 중구
31140,울산광역시 남구
31170,울산광역시 동구
31200,울산광역시 북구
31710,울산광역시 울주군
36110,세종특별자치시 소정면
41010,경기도 인천시
41011,경기도 인천시
41012,경기도 인천시
41013,경기도 인천시
41014,경기도 인천시
41050,경기도 부천군
41110,경기도 수원시
41111,경기도 수원시
41113,경기도 수원시
41115,경기도 수원시
41117,경기도 수원시
41130,경기도 성남시
41131,경기도 성남시
41133,경기도 성남시
41135,경기도 성남시
41150,경기도 의정부시
41170,경기도 안양시
41171,경기도 안양시
41173,경기도 안양시
41190,경기도 부천시
41191,경기도 부천시
41193,경기도 부천시
41195,경기도 부천시
41197,경기도 부천시
41199,경기도 부천시
